source,metric,value,unit,citation,url,accessed_note
delivery_clock,clinical_dev_time_1970s,4.4,years,"Tufts CSDD, cited in Haycock/BioWorld retrospective",https://www.bioworld.com/articles/481745,Historical retrospective citing Tufts CSDD decade averages
delivery_clock,clinical_dev_time_1980s,5.5,years,"Tufts CSDD, cited in Haycock/BioWorld retrospective",https://www.bioworld.com/articles/481745,Historical retrospective citing Tufts CSDD decade averages
delivery_clock,clinical_dev_time_1990_1996,6.7,years,"Tufts CSDD, cited in Haycock/BioWorld retrospective",https://www.bioworld.com/articles/481745,Historical retrospective citing Tufts CSDD decade averages
delivery_clock,clinical_phase_months_1996_1998,70.3,months,"Tufts CSDD triennial report, DiMasi et al., published in Springer journal (Drug Information Journal)",https://link.springer.com/article/10.1177/009286150003400101,"IND filing to NDA submission, n=110 NCEs approved 1996-1998"
delivery_clock,approval_phase_months_1996_1998,16.8,months,"Tufts CSDD triennial report, DiMasi et al.",https://link.springer.com/article/10.1177/009286150003400101,"NDA submission to approval, same cohort"
delivery_clock,total_time_change_2008_13_to_2014_18,4.8,months_increase,"Tufts CSDD Impact Report Jul/Aug 2020, summarized by ACRP",https://acrpnet.org/2020/07/20/slower-clinical-trial-timelines-hinder-drug-approval-process,"n=377 new drugs/biologics; clinical time +~7mo, approval time -~2mo, net +4.8mo"
delivery_clock,clinical_approval_success_rate,12.0,percent,"Tufts CSDD, cited in Pharmaceutical Executive retrospective",https://www.pharmexec.com/view/tufts-figures-drug-development-spark-debate,Share of candidates entering clinical trials that reach approval
discovery_clock,ai_task_horizon_doubling_months,4.0,months,"This project, 'The Floor That Does Not Rise', Part III (METR public task-evaluation data, N=20 recent models, 95% CI 3.56-4.71)",,"Internal citation - verified this project, same corpus"
biomarker,dunedinpace_effect_size_cohens_d_12mo,0.3,cohens_d,"Waziry et al. (2023), Nature Aging 3(3):248-257",https://doi.org/10.1038/s43587-022-00357-y,"p<0.01, CALERIE RCT n=220, 25% CR vs ad libitum, 2yr"
biomarker,dunedinpace_percent_slowing,2.5,percent_slowing_midpoint,Waziry et al. (2023); Columbia Mailman press release,https://sciencedaily.com/releases/2023/02/230209114738.htm,Reported range 2-3%; associated with ~10-15% lower mortality risk in independent validation studies
biomarker,phenoage_grimage_significance,0.0,not_significant,"Waziry et al. (2023), Nature Aging abstract",https://doi.org/10.1038/s43587-022-00357-y,Explicitly: 'did not lead to significant changes in biological age estimates measured by various DNAm clocks including PhenoAge and GrimAge' - CORRECTS an earlier draft's unverified claim of PhenoAge p=0.031
price_tier,metformin_generic_monthly,4.0,usd_per_month,"Standard US $4 generic-drug program pricing (Walmart/major retail pharmacy generic list), 500mg BID typical dose",N/A - widely published retail generic pricing,"Illustrative - retail cash price, not insurance-negotiated"
price_tier,rapamycin_compounded_monthly_low,30.0,usd_per_month,"CompoundingFinder.com aggregator, market survey of 7500+ US compounding pharmacies",https://www.compoundingfinder.com/medication/rapamycin,Low end of quoted range for low-dose weekly off-label longevity protocol
price_tier,rapamycin_compounded_monthly_high,150.0,usd_per_month,CompoundingFinder.com aggregator,https://www.compoundingfinder.com/medication/rapamycin,High end of quoted range; site notes up to 300% variance between pharmacies for identical formulation
price_tier,concierge_core_annual,10500.0,usd_per_year,"Fountain Life CORE membership, current public pricing",https://outliyr.com/shop/fountain-life-core-membership,"Named, current (2026) publicly listed price; co-founded by Diamandis/Robbins"
price_tier,concierge_apex_annual,21500.0,usd_per_year,Fountain Life APEX membership,https://agemed.org/?p=108375,Adds physician/nurse/coach/nutritionist team
price_tier,concierge_elite_annual,85000.0,usd_per_year,Fountain Life EPIC tier (application-only),https://aging-us.com/article/206330/text,Upper bound of named-clinic public tier structure
price_tier,concierge_estate_annual_2026,35000.0,usd_per_year,"Fountain Life 'The Estate' luxury longevity resort tier, LA Century City, debuting 2026",https://fortune.com/2026/01/25/longevity-weekend-time-luxury-vacation-health-ageing,"Reported by Fortune, Jan 2026 - most current data point in this table"
covax_equity,total_doses_delivered,1.9,billion_doses,"Itad Formative Review and Baseline Study of the COVAX Facility and AMC, commissioned by Gavi (May 2023)",https://www.gavi.org/sites/default/files/programmes-impact/our-impact/Final-Report_COVAX-Facility-and-COVAX-AMC-Formative-Review-and-Baseline-Study.pdf,"Independent formal evaluation, not a Gavi self-report"
covax_equity,doses_to_amc_poorest_countries,1.7,billion_doses,"Itad Formative Review, May 2023",same_as_above,~89% of total went to AMC (poorest-country) participants
covax_equity,end_2021_doses_vs_target,50.0,percent_of_target,"Itad Formative Review, May 2023",same_as_above,"~1bn delivered vs 2bn target by end of 2021 - the 'fast, favorable-conditions' case still ran at roughly half its own pace target"
covax_equity,amc_full_series_coverage_end_2022,50.0,percent_median,"Gavi preliminary assessment white paper, May 2023",https://www.gavi.org/news-insights/insight-reports/preliminary-assessment-covaxs-impact-lower-income-countries,Over 50% of AMC populations had full primary series by end of 2022
covax_equity,amc_countries_below_10pct_coverage_end_2023,6.0,country_count,"World Economic Forum / Gavi wind-down retrospective, Jan 2024/2025",https://www.weforum.org/stories/2024/01/covax-covid-vaccination-healthcare-equity/,"Even after ~3 years and $12bn+ in dedicated financing, 6 of 91 AMC participants remained under 10% coverage"
